Food name and description	category	Density in g/ml (including mass and bulk density)	Specific gravity	BiblioID	Update Version 2.0	Unnamed: 5	Unnamed: 6
Apple juice, canned or bottled, unsweetened, with added ascorbic acid	Beverages, non alcoholic (including soft drinks and juices)	1.04	1.05	USDA	x		
Apple juice, canned or bottled, unsweetened, without added ascorbic acid	Beverages, non alcoholic (including soft drinks and juices)	1.04	1.05	USDA	x		
Beverages, fruit juice drink, reduced sugar, with vitamin E added	Beverages, non alcoholic (including soft drinks and juices)	1.04	1.05	USDA	x		
Carbonated beverage, tonic water	Beverages, non alcoholic (including soft drinks and juices)	1.02	1.02	USDA	x		
Cranberry juice cocktail, bottled	Beverages, non alcoholic (including soft drinks and juices)	1.05	1.05	USDA	x		
Cranberry-apple juice drink, bottled	Beverages, non alcoholic (including soft drinks and juices)	1.06	1.07	USDA	x		
Fruit drinks, low calories, undiluted	Beverages, non alcoholic (including soft drinks and juices)	1.02	1.010-1.030	UK 6th			
Fruit drinks, undiluted	Beverages, non alcoholic (including soft drinks and juices)	1.105	1.090-1.120	UK 6th			
Fruit juice	Beverages, non alcoholic (including soft drinks and juices)	1.06		FNDDS 4.1			
Fruit juice drinks	Beverages, non alcoholic (including soft drinks and juices)	1.04	1.040	UK 6th			
Fruit juice drinks, ready to drink	Beverages, non alcoholic (including soft drinks and juices)	1.0350000000000001	1.030-1.040	UK 6th			
Grape juice	Beverages, non alcoholic (including soft drinks and juices)	1.054		S&W			
Grape juice, canned or bottled, unsweetened, with added ascorbic acid	Beverages, non alcoholic (including soft drinks and juices)	1.06	1.07	USDA	x		
Grape juice, canned or bottled, unsweetened, without added ascorbic acid	Beverages, non alcoholic (including soft drinks and juices)	1.06	1.07	USDA	x		
Guanabana nectar, canned	Beverages, non alcoholic (including soft drinks and juices)	1.02	1.02	USDA	x		
Guava nectar, canned	Beverages, non alcoholic (including soft drinks and juices)	1.02	1.02	USDA	x		
Ice, crushed	Beverages, non alcoholic (including soft drinks and juices)	0.56-0.72		ASI	x		
Juice, apple and grape blend, with added ascorbic acid	Beverages, non alcoholic (including soft drinks and juices)	1.05	1.05	USDA			
Juice, apple, grape and pear blend, with added ascorbic acid and calcium	Beverages, non alcoholic (including soft drinks and juices)	1.05	1.05	USDA			
Lemonade, frozen concentrate, pink	Beverages, non alcoholic (including soft drinks and juices)	1.24	1.24	USDA			
Lemonade, frozen concentrate, white	Beverages, non alcoholic (including soft drinks and juices)	1.17	1.17	USDA			
Lime juice cordial, undiluted	Beverages, non alcoholic (including soft drinks and juices)	1.102	1.102	UK 6th			
Mango nectar, canned	Beverages, non alcoholic (including soft drinks and juices)	1.00	1.00	USDA	x		
Meal supplement drink, NESTLE, SUPLIGEN, canned, peanut flavor	Beverages, non alcoholic (including soft drinks and juices)	1.04	1.04	USDA	x		
Orange juice	Beverages, non alcoholic (including soft drinks and juices)	1.038		S&W			
Orange juice with calcium	Beverages, non alcoholic (including soft drinks and juices)	1.038		S&W			
Orange juice, canned, unsweetened	Beverages, non alcoholic (including soft drinks and juices)	1.04	1.05	USDA	x		
Orange soda (sweetened with sugar)	Beverages, non alcoholic (including soft drinks and juices)	1.029		S&W			
QUAKER OATS, PROPEL Fitness Water, fruit-flavored, non-carbonated	Beverages, non alcoholic (including soft drinks and juices)	1.00	1.00	USDA	x		
Soft drinks, cola type	Beverages, non alcoholic (including soft drinks and juices)	1.04	1.040	UK 6th			
Soft drinks, diet soda	Beverages, non alcoholic (including soft drinks and juices)	0.988		S&W			
Soft drinks, lemonade type	Beverages, non alcoholic (including soft drinks and juices)	1.02	1.020	UK 6th			
Soft drinks, lucozade type	Beverages, non alcoholic (including soft drinks and juices)	1.07	1.070	UK 6th			
Soy drink	Beverages, non alcoholic (including soft drinks and juices)	1.08		FNDDS 4.1			
Soya + milk + sugar	Beverages, non alcoholic (including soft drinks and juices)	1.05		KEN	x		
Soya + sugar	Beverages, non alcoholic (including soft drinks and juices)	1.05		KEN	x		
Sports drink, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink	Beverages, non alcoholic (including soft drinks and juices)	1.03	1.03	USDA	x		
Sports drink, PEPSICO QUAKER GATORADE, GATORADE, original, fruit-flavored, ready-to-drink	Beverages, non alcoholic (including soft drinks and juices)	1.03	1.03	USDA	x		
